               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 148,            0.040598,            0.017001,                   0,             0.96394,                   1,             0.99279,             0.61518,            0.020968,            0.010575,                   0,            0.001881,            0.001881,            0.057281
                 149,            0.038147,            0.017159,                   0,                   1,             0.99995,               0.995,             0.60575,              0.0195,            0.010605,                   0,           0.0018693,           0.0018693,            0.056969
                 150,            0.040617,            0.016596,                   0,             0.98168,                   1,             0.99373,             0.55352,            0.026485,            0.011043,                   0,           0.0018575,           0.0018575,            0.056657
                 151,            0.039136,            0.015925,                   0,              0.9818,                   1,             0.99482,             0.66225,            0.021716,            0.010568,                   0,           0.0018454,           0.0018454,            0.056345
                 152,            0.039646,            0.016094,                   0,             0.98174,                   1,             0.99445,              0.5827,            0.022711,            0.010613,                   0,           0.0018331,           0.0018331,            0.056033
                 153,            0.040492,            0.015954,                   0,                   1,             0.96295,             0.99375,              0.5352,            0.024118,            0.011215,                   0,           0.0018205,           0.0018205,            0.055721
                 154,            0.042568,            0.016532,                   0,             0.96382,                   1,             0.99317,             0.52131,            0.024379,            0.010673,                   0,           0.0018078,           0.0018078,            0.055408
                 155,            0.039672,            0.017425,                   0,             0.98182,             0.99986,             0.99409,             0.61431,            0.020836,            0.010358,                   0,           0.0017949,           0.0017949,            0.055095
                 156,            0.038571,             0.01647,                   0,             0.98174,                   1,             0.99409,             0.49028,            0.021134,            0.011112,                   0,           0.0017818,           0.0017818,            0.054782
                 157,            0.038747,            0.016562,                   0,             0.96296,             0.96296,             0.97765,             0.56416,            0.024354,            0.011517,                   0,           0.0017685,           0.0017685,            0.054468
                 158,            0.035996,            0.017206,                   0,             0.96409,                   1,             0.98134,             0.61091,            0.025221,            0.010786,                   0,            0.001755,            0.001755,            0.054155
                 159,            0.037949,            0.014971,                   0,             0.99995,                   1,               0.995,             0.53354,            0.028445,           0.0095736,                   0,           0.0017413,           0.0017413,            0.053841
                 160,            0.043476,            0.016087,                   0,             0.98169,                   1,             0.99373,             0.59409,            0.021484,            0.009871,                   0,           0.0017275,           0.0017275,            0.053527
                 161,            0.038678,            0.016567,                   0,             0.96429,             0.99999,             0.98551,             0.63724,            0.019011,             0.01071,                   0,           0.0017135,           0.0017135,            0.053213
                 162,            0.037504,            0.016395,                   0,             0.99987,                   1,               0.995,              0.5093,            0.022436,            0.010421,                   0,           0.0016994,           0.0016994,            0.052899
                 163,            0.039172,            0.016176,                   0,             0.99989,                   1,               0.995,              0.6031,             0.01971,            0.010151,                   0,           0.0016851,           0.0016851,            0.052585
                 164,            0.040934,             0.01592,                   0,             0.98182,             0.99983,             0.99445,             0.48772,            0.023776,            0.010754,                   0,           0.0016706,           0.0016706,            0.052271
                 165,            0.042457,            0.015294,                   0,             0.98181,                   1,             0.99482,             0.62328,            0.021433,           0.0097656,                   0,           0.0016561,           0.0016561,            0.051956
                 166,            0.037724,            0.016179,                   0,             0.89939,                   1,              0.9682,             0.49296,            0.024383,            0.012049,                   0,           0.0016414,           0.0016414,            0.051641
